"uber_name","uber_write","uber_date","page_num","threads","links","tot_pop","pop_per_thread","uber_write_filtered"
"Asianuberdriver","I bought Mercury insurance with ride for hire endorsement CA It only costs 109 per month 50000100000","Jan 14, 2017","3","the-cost-of-geico-ridesharing-insurance-is","https://uberpeople.net/threads/the-cost-of-geico-ridesharing-insurance-is.132807/page-3",2,346,"I bought Mercury insurance with ride for hire endorsement CA It only costs 109 per month 50000100000"
"New2This","My Erie guy told me Erie finally has Uber coverage in VA Hes getting me a quote Will let you know what it is compared to GEICO","Jan 14, 2017","3","the-cost-of-geico-ridesharing-insurance-is","https://uberpeople.net/threads/the-cost-of-geico-ridesharing-insurance-is.132807/page-3",22,346,"My Erie guy told me Erie finally has Uber coverage in VA Hes getting me a quote Will let you know what it is compared to GEICO"
"BCUber","My Erie ridesshare coverage is 24 extra a month  Peace of mind Priceless","Jan 14, 2017","3","the-cost-of-geico-ridesharing-insurance-is","https://uberpeople.net/threads/the-cost-of-geico-ridesharing-insurance-is.132807/page-3",1,346,"My Erie ridesshare coverage is 24 extra a month  Peace of mind Priceless"
"tee hee","In virginia one can pay 50000 to dmv and drive without insurance For 12 monthsIs it possible to be an uber driver and just rely on ubers insuranceI am not going to do this  just wondering","Jan 1, 2017","1","uninsured-insurance-in-va","https://uberpeople.net/threads/uninsured-insurance-in-va.129556/page-1",1,5,"In virginia one can pay 50000 to  and drive without insurance For 12 monthsIs it possible to be an uber driver and just rely on ubers insuranceI am not going to do this  just wondering"
"iworkforuberriders","So youre basically bribing VAs DMV to not fine you for not being insured smh","Jan 1, 2017","1","uninsured-insurance-in-va","https://uberpeople.net/threads/uninsured-insurance-in-va.129556/page-1",2,5,"So youre basically bribing VAs DMV to not fine you for not being insured smh"
"Darrell","You have to have your own car insurance to even drive with Uber Then if you are in an accident Uber makes you jump through hoops to access their insurance and should you meet the criteria their insurance will only cover the pax 100 and only cover your vehicle if you have liability and collision coverage on your personal insurance Uber insurance is basically a joke well unless you kill a pax or someone in an accident while Ubering then their your best friend","Jan 1, 2017","1","uninsured-insurance-in-va","https://uberpeople.net/threads/uninsured-insurance-in-va.129556/page-1",1,5,"You have to have your own car insurance to even drive with Uber Then if you are in an accident Uber makes you jump through hoops to access their insurance and should you meet the criteria their insurance will only cover the pax 100 and only cover your vehicle if you have liability and collision coverage on your personal insurance Uber insurance is basically a joke well unless you kill a pax or someone in an accident while Ubering then their your best friend"
"Another Uber Driver","Read what the Commonwealth of Virginia tells you about the Uninsured Motorist Fee  They are quite specific that it is NOT insurance  You are paying to be allowed to own a vehicle on which there is no policy of insurance  Some states and provinces in Canada do have an Unsatisfied Judgement fund or something similar  It will pay a claim if the owner of the vehicle can not  The owner pays a fee when he registers the vehicle   If the Fund must pay a claim on behalf of the owner often he gets his licence suspended until he makes it good  In some states or provinces you can work out a payment plan but not allThere was a todo among the DC cab drivers who lived in Fairfax County the Fairfax County Government and the Commonwealth over something similar recently  As Virginia residents know if you live there you must secure a County Decal   It used to be that you did not need Virginia plates to do this as long as you could demonstrate a sound reason why you had to keep the outofstate plates  In fact at one point Virginia allowed dualmultiple registration only for trucks busses and similar vehicles   As Virginia residents also know every once in a while the Police or Sheriffs Departments sometimes both get a bug up their collective posterior and descend on the neighbourhoods and issue warnings or summonses  Over the years there have been some changes in Virginia  Now you must obtain Virginia plates in order to purchase a County Decal   Of course in order to do that you must carry a policy of insurance from an insurance company admitted to do business in the Commonwealth of Virginia   As taxicab insurance is a niche market in the District of Columbia of course the cab insurance companies are not admitted in Virginia  The cab drivers pleaded for an exemption but it was not happening  Now they carry Virginia plates but must pay the Uninsured Motorist Fee   They do have insurance and the companies will pay for an atfault collision that occurs in VirginiaThis is just one of a series of things that have happened to DC cab drivers and their registrations over the years since the Administrators of the Motor Vehicle Agencies from Maryland DC and Virginia sat down and had an all day conference   At one point many DC cab drivers who lived in the suburbs could not get DC HPlates for their cabs  The Hack Office suggested various solutions  The drivers took them  Years later the Hack Office imposed a moratorium on HPlates  Several drivers were shafted out of the ability to own a cab and had to rent  When they appealed to the Hack Office the Hack Office told them that since they had been circumventing the law the DC Government was not about to do anything for them  Wunnerfull  These drivers did what DC told them to do and now DC blames it on them  That is about what I expect from the DC GubbamintNo  In the Commonwealth of Virginia the Uninsured Motorist Fee is not insurance  ","Jan 1, 2017","1","uninsured-insurance-in-va","https://uberpeople.net/threads/uninsured-insurance-in-va.129556/page-1",37,5,"Read what the Commonwealth of Virginia tells you about the Uninsured Motorist Fee  They are quite specific that it is NOT insurance  You are paying to be allowed to own a vehicle on which there is no policy of insurance  Some states and provinces in Canada do have an Unsatisfied Judgement fund or something similar  It will pay a claim if the owner of the vehicle can not  The owner pays a fee when he registers the vehicle   If the Fund must pay a claim on behalf of the owner often he gets his licence suspended until he makes it good  In some states or provinces you can work out a payment plan but not allThere was a todo among the DC cab drivers who lived in Fairfax County the Fairfax County Government and the Commonwealth over something similar recently  As Virginia residents know if you live there you must secure a County Decal   It used to be that you did not need Virginia plates to do this as long as you could demonstrate a sound reason why you had to keep the outofstate plates  In fact at one point Virginia allowed dualmultiple registration only for trucks busses and similar vehicles   As Virginia residents also know every once in a while the Police or Sheriffs Departments sometimes both get a bug up their collective posterior and descend on the neighbourhoods and issue warnings or summonses  Over the years there have been some changes in Virginia  Now you must obtain Virginia plates in order to purchase a County Decal   Of course in order to do that you must carry a policy of insurance from an insurance company admitted to do business in the Commonwealth of Virginia   As taxicab insurance is a niche market in the District of Columbia of course the cab insurance companies are not admitted in Virginia  The cab drivers pleaded for an exemption but it was not happening  Now they carry Virginia plates but must pay the Uninsured Motorist Fee   They do have insurance and the companies will pay for an atfault collision that occurs in VirginiaThis is just one of a series of things that have happened to DC cab drivers and their registrations over the years since the Administrators of the Motor Vehicle Agencies from Maryland DC and Virginia sat down and had an all day conference   At one point many DC cab drivers who lived in the suburbs could not get DC HPlates for their cabs  The Hack Office suggested various solutions  The drivers took them  Years later the Hack Office imposed a moratorium on HPlates  Several drivers were shafted out of the ability to own a cab and had to rent  When they appealed to the Hack Office the Hack Office told them that since they had been circumventing the law the DC Government was not about to do anything for them  Wunnerfull  These drivers did what DC told them to do and now DC blames it on them  That is about what I expect from the DC GubbamintNo  In the Commonwealth of Virginia the Uninsured Motorist Fee is not insurance  "
"roadman","tee hee saidIn virginia one can pay 50000 to dmv and drive without insurance For 12 monthsIs it possible to be an uber driver and just rely on ubers insuranceI am not going to do this  just wonderingClick to expandi  am guessing no since you must send them up to date insurance policy documents","Jan 1, 2017","1","uninsured-insurance-in-va","https://uberpeople.net/threads/uninsured-insurance-in-va.129556/page-1",3,5,"  In virginia one can pay 50000 to  and drive without insurance For 12 monthsIs it possible to be an uber driver and just rely on ubers insuranceI am not going to do this  just wondering i  am guessing no since you must send them up to date insurance policy documents"
"JackE","Anyone doing that What insurance do you use","Oct 23, 2016","1","anyone-ubering-on-personal-insurance","https://uberpeople.net/threads/anyone-ubering-on-personal-insurance.112941/page-1",3,99,"Anyone doing that What insurance do you use"
"MR5STAR","Everybody","Oct 23, 2016","1","anyone-ubering-on-personal-insurance","https://uberpeople.net/threads/anyone-ubering-on-personal-insurance.112941/page-1",2,99,"Everybody"
"Uberduber","Yup My insurance is that Im careful and dont crash","Oct 23, 2016","1","anyone-ubering-on-personal-insurance","https://uberpeople.net/threads/anyone-ubering-on-personal-insurance.112941/page-1",2,99,"Yup My insurance is that Im careful and dont crash"
"CrazyT","Not me  I fork out for the commercial policy on the Jiggly mobile","Oct 23, 2016","1","anyone-ubering-on-personal-insurance","https://uberpeople.net/threads/anyone-ubering-on-personal-insurance.112941/page-1",7,99,"Not me  I fork out for the commercial policy on the Jiggly mobile"
"New2This","I have the GEICO rideshare policyReally hope if Im ever in an accident its with an Uber Driver with a passenger in the car Then Ill finally get life changing money from Uber","Oct 23, 2016","1","anyone-ubering-on-personal-insurance","https://uberpeople.net/threads/anyone-ubering-on-personal-insurance.112941/page-1",22,99,"I have the GEICO rideshare policyReally hope if Im ever in an accident its with an Uber Driver with a passenger in the car Then Ill finally get life changing money from Uber"
"PeacefulJ","With all these friend accidents on this forum youll be hit by another driver before anyone else Take chances at your own risk I have Erie Ins","Oct 23, 2016","1","anyone-ubering-on-personal-insurance","https://uberpeople.net/threads/anyone-ubering-on-personal-insurance.112941/page-1",9,99,"With all these friend accidents on this forum youll be hit by another driver before anyone else Take chances at your own risk I have Erie Ins"
"Bluecrab","Whats the increase cost when you add Rideshare","Oct 23, 2016","1","anyone-ubering-on-personal-insurance","https://uberpeople.net/threads/anyone-ubering-on-personal-insurance.112941/page-1",6,99,"Whats the increase cost when you add Rideshare"
"Bluecrab","Prior to starting with Uber I did buy a 1MM umbrella policy  Its designed to kick in after any other insurance reaches its limits and protect my assets Thats only 140 a year","Oct 23, 2016","1","anyone-ubering-on-personal-insurance","https://uberpeople.net/threads/anyone-ubering-on-personal-insurance.112941/page-1",6,99,"Prior to starting with Uber I did buy a 1MM umbrella policy  Its designed to kick in after any other insurance reaches its limits and protect my assets Thats only 140 a year"
"New2This","Bluecrab saidWhats the increase cost when you add RideshareClick to expandSupposedly its not that expensive in DCMD VA we get bent over the log like Ned Beatty in Deliverance","Oct 23, 2016","1","anyone-ubering-on-personal-insurance","https://uberpeople.net/threads/anyone-ubering-on-personal-insurance.112941/page-1",22,99,"  Whats the increase cost when you add Rideshare Supposedly its not that expensive in DCMD VA we get bent over the log like Ned Beatty in Deliverance"
"ABC123DEF","Whats sad is a lot of us barely make enough to justify having said rideshare insurance  Big Foober keeps changing the compensation game and adding more and more drivers  Thenonce you stop driving in the Moober Foober Goober business youre stuck with extra insurance that you have no need for  What a friggin hassle this useless company is","Oct 23, 2016","1","anyone-ubering-on-personal-insurance","https://uberpeople.net/threads/anyone-ubering-on-personal-insurance.112941/page-1",3,99,"Whats sad is a lot of us barely make enough to justify having   rideshare insurance  Big Foober keeps changing the compensation game and adding more and more drivers  Thenonce you stop driving in the Moober Foober Goober business youre stuck with extra insurance that you have no need for  What a friggin hassle this useless company is"
"PeacefulJ","New2This saidSupposedly its not that expensive in DCMDAnd the lie detector test determinedthat was a lie  Maury PovichClick to expand","Oct 23, 2016","1","anyone-ubering-on-personal-insurance","https://uberpeople.net/threads/anyone-ubering-on-personal-insurance.112941/page-1",9,99,"  Supposedly its not that expensive in DCMDAnd the lie detector test determinedthat was a lie  Maury Povich "
"CrazyT","Mine is 2333 per year  My personal insurance dropped to 84 per month for my nonuber vehicle which is down from 179  So a 95 per month savings thereso it raised my insurance 99 a month","Oct 23, 2016","1","anyone-ubering-on-personal-insurance","https://uberpeople.net/threads/anyone-ubering-on-personal-insurance.112941/page-1",7,99,"Mine is 2333 per year  My personal insurance dropped to 84 per month for my nonuber vehicle which is down from 179  So a 95 per month savings thereso it raised my insurance 99 a month"
"Wizar","Bluecrab saidPrior to starting with Uber I did buy a 1MM umbrella policy  Its designed to kick in after any other insurance reaches its limits and protect my assets Thats only 140 a yearClick to expandThats not a bad ideaFor me I m slowly transferring all my assets to my kid and wife so I dont have anything that can be taken away Lol This is some serious  Its kind of funny that we are risking all our assets to do rideshare","Oct 23, 2016","1","anyone-ubering-on-personal-insurance","https://uberpeople.net/threads/anyone-ubering-on-personal-insurance.112941/page-1",2,99,"  Prior to starting with Uber I did buy a 1MM umbrella policy  Its designed to kick in after any other insurance reaches its limits and protect my assets Thats only 140 a year Thats not a bad ideaFor me I m slowly transferring all my assets to my kid and wife so I dont have anything that can be taken away Lol This is some serious  Its kind of funny that we are risking all our assets to do rideshare"
"New2This","I thought Erie had the rideshare policy rider that wasnt that much more Maybe its DC","Oct 23, 2016","1","anyone-ubering-on-personal-insurance","https://uberpeople.net/threads/anyone-ubering-on-personal-insurance.112941/page-1",22,99,"I thought Erie had the rideshare policy rider that wasnt that much more Maybe its DC"
"Bluecrab","CrazyT saidMine is 2333 per year  My personal insurance dropped to 84 per month for my nonuber vehicle which is down from 179  So a 95 per month savings thereso it raised my insurance 99 a monthClick to expandI like the approach of two cars uber car and personal car  Im only doing this part time but two cars would still work if mileage fees ever increase  Im grossing about a 1000 a month on a 12 or 13 hour week Surge times only  Bump the base fees and Ill work more  With one car my annual policy is 1100 A bump to 2333 represents about 100 a month more Are you going thru Geico","Oct 23, 2016","1","anyone-ubering-on-personal-insurance","https://uberpeople.net/threads/anyone-ubering-on-personal-insurance.112941/page-1",6,99,"  Mine is 2333 per year  My personal insurance dropped to 84 per month for my nonuber vehicle which is down from 179  So a 95 per month savings thereso it raised my insurance 99 a month I like the approach of two cars uber car and personal car  Im only doing this part time but two cars would still work if mileage fees ever increase  Im grossing about a 1000 a month on a 12 or 13 hour week Surge times only  Bump the base fees and Ill work more  With one car my annual policy is 1100 A bump to 2333 represents about 100 a month more Are you going thru Geico"
"CrazyT","Bluecrab saidI like the approach of two cars uber car and personal car  Im only doing this part time but two cars would still work if mileage fees ever increase  Im grossing about a 1000 a month on a 12 or 13 hour week Surge times only  Bump the base fees and Ill work more With one car my annual policy is 1100 A bump to 2333 represents about 100 a month more Are you going thru GeicoClick to expandYep its through Geico  The uber car is basically around 98 write off  Im tracking both actual expenses and mileage  Its kind of sad that I look at the deduction value more than the money  But with his former company cashing out his employee stock shares and me doing  the occasional consultingfilling in the deduction is the true value for us","Oct 23, 2016","1","anyone-ubering-on-personal-insurance","https://uberpeople.net/threads/anyone-ubering-on-personal-insurance.112941/page-1",7,99,"  I like the approach of two cars uber car and personal car  Im only doing this part time but two cars would still work if mileage fees ever increase  Im grossing about a 1000 a month on a 12 or 13 hour week Surge times only  Bump the base fees and Ill work more With one car my annual policy is 1100 A bump to 2333 represents about 100 a month more Are you going thru Geico Yep its through Geico  The uber car is basically around 98 write off  Im tracking both actual expenses and mileage  Its kind of sad that I look at the deduction value more than the money  But with his former company cashing out his employee stock shares and me doing  the occasional consultingfilling in the deduction is the true value for us"
"Bluecrab","CrazyT saidYep its through Geico  The uber car is basically around 98 write off  Im tracking both actual expenses and mileage  Its kind of sad that I look at the deduction value more than the money  But with his former company cashing out his employee stock shares and me doing  the occasional consultingfilling in the deduction is the true value for usClick to expandGood info Ill call Geico and see if I can get a ballpark quote I was with them for 10 years but switched a couple of years back Never had any claims or issues but when I had a question their voice menu decision tree drove me nuts Now Im with a family owned franchisee of a national carrier local guy who I can call on his cell phone Youre wise to track both options on auto for tax deductions I imagine this side hustle work will show a loss at years end offsetting taxable income from my day job","Oct 23, 2016","1","anyone-ubering-on-personal-insurance","https://uberpeople.net/threads/anyone-ubering-on-personal-insurance.112941/page-1",6,99,"  Yep its through Geico  The uber car is basically around 98 write off  Im tracking both actual expenses and mileage  Its kind of sad that I look at the deduction value more than the money  But with his former company cashing out his employee stock shares and me doing  the occasional consultingfilling in the deduction is the true value for us Good info Ill call Geico and see if I can get a ballpark quote I was with them for 10 years but switched a couple of years back Never had any claims or issues but when I had a question their voice menu decision tree drove me nuts Now Im with a family owned franchisee of a national carrier local guy who I can call on his cell phone Youre wise to track both options on auto for tax deductions I imagine this side hustle work will show a loss at years end offsetting taxable income from my day job"
"CrazyT","Bluecrab saidGood info Ill call Geico and see if I can get a ballpark quote I was with them for 10 years but switched a couple of years back Never had any claims or issues but when I had a question their voice menu decision tree drove me nuts Now Im with a family owned franchisee of a national carrier local guy who I can call on his cell phoneYoure wise to track both options on auto for tax deductions I imagine this side hustle work will show a loss at years end offsetting taxable income from my day jobClick to expandThats what it showed last year for me doing it part time  So with our salaries and the uber money we went from owing to getting a small refund  Not much of one but at least we didnt oweOh Im sorry I didnt pay income tax last year  Ill work on that  Lol","Oct 23, 2016","1","anyone-ubering-on-personal-insurance","https://uberpeople.net/threads/anyone-ubering-on-personal-insurance.112941/page-1",7,99,"  Good info Ill call Geico and see if I can get a ballpark quote I was with them for 10 years but switched a couple of years back Never had any claims or issues but when I had a question their voice menu decision tree drove me nuts Now Im with a family owned franchisee of a national carrier local guy who I can call on his cell phoneYoure wise to track both options on auto for tax deductions I imagine this side hustle work will show a loss at years end offsetting taxable income from my day job Thats what it showed last year for me doing it part time  So with our salaries and the uber money we went from owing to getting a small refund  Not much of one but at least we didnt oweOh Im sorry I didnt pay income tax last year  Ill work on that  Lol"
"Older Chauffeur","Bluecrab saidPrior to starting with Uber I did buy a 1MM umbrella policy  Its designed to kick in after any other insurance reaches its limits and protect my assets Thats only 140 a yearClick to expandIve carried an umbrella policy for many years providing excess liability coverage of one million dollars However it mirrors my auto policy in that any use of a vehicle for compensation is specifically excluded My policies contain wording about TNCs and make it very clear that if I were to engage in that kind of rideshare or deliver packages newspapers food etc I would not be covered in the event of an accidentMy premium is a bit higher than yours at 211 but I have 3 cars and Im in CAMight be a good idea to see if your auto and umbrella policies have this exclusion","Oct 23, 2016","1","anyone-ubering-on-personal-insurance","https://uberpeople.net/threads/anyone-ubering-on-personal-insurance.112941/page-1",3,99,"  Prior to starting with Uber I did buy a 1MM umbrella policy  Its designed to kick in after any other insurance reaches its limits and protect my assets Thats only 140 a year Ive carried an umbrella policy for many years providing excess liability coverage of one million dollars However it mirrors my auto policy in that any use of a vehicle for compensation is specifically excluded My policies contain wording about TNCs and make it very clear that if I were to engage in that kind of rideshare or deliver packages newspapers food etc I would not be covered in the event of an accidentMy premium is a bit higher than yours at 211 but I have 3 cars and Im in CAMight be a good idea to see if your auto and umbrella policies have this exclusion"
"Bluecrab","Hey Old C Thanks for providing your view on this conversation and the other thread that discusses auto insurance Howd you come across this DC Forum when youre out in Simi ValleyNot being sarcastic Appreciate your words of wisdom I feel like I just had a visit from a Guardian Angel","Oct 23, 2016","1","anyone-ubering-on-personal-insurance","https://uberpeople.net/threads/anyone-ubering-on-personal-insurance.112941/page-1",6,99,"Hey Old C Thanks for providing your view on this conversation and the other thread that discusses auto insurance Howd you come across this DC Forum when youre out in Simi ValleyNot being sarcastic Appreciate your words of wisdom I feel like I just had a visit from a Guardian Angel"
"Bluecrab","I just spent an hour reading coverage Im covered between my personal and James River except for Period 1 Thats when youre online but not yet responding to Ping or having Pax in the car Thats really not too frequent","Oct 24, 2016","2","anyone-ubering-on-personal-insurance","https://uberpeople.net/threads/anyone-ubering-on-personal-insurance.112941/page-2",6,99,"I just spent an hour reading coverage Im covered between my personal and James River except for Period 1 Thats when youre online but not yet responding to Ping or having Pax in the car Thats really not too frequent"
"Older Chauffeur","Bluecrab saidHey Old CThanks for providing your view on this conversation and the other thread that discusses auto insurance Howd you come across this DC Forum when youre out in Simi ValleyNot being sarcastic Appreciate your words of wisdom I feel like I just had a visit from a Guardian AngelClick to expandI check the UPnet Top Ten on the opening page when I sign on If something catches my attention I click on it to read the thread Some things of general interest I think would be better posted in the main forums rather than by cities But I understand this was a question specifically to drivers in your area Drive safely","Oct 24, 2016","2","anyone-ubering-on-personal-insurance","https://uberpeople.net/threads/anyone-ubering-on-personal-insurance.112941/page-2",3,99,"  Hey Old CThanks for providing your view on this conversation and the other thread that discusses auto insurance Howd you come across this DC Forum when youre out in Simi ValleyNot being sarcastic Appreciate your words of wisdom I feel like I just had a visit from a Guardian Angel I check the UPnet Top Ten on the opening page when I sign on If something catches my attention I click on it to read the thread Some things of general interest I think would be better posted in the main forums rather than by cities But I understand this was a question specifically to drivers in your area Drive safely"
"Wizar","Bluecrab saidI like the approach of two cars uber car and personal car  Im only doing this part time but two cars would still work if mileage fees ever increase  Im grossing about a 1000 a month on a 12 or 13 hour week Surge times only  Bump the base fees and Ill work more With one car my annual policy is 1100 A bump to 2333 represents about 100 a month more Are you going thru GeicoClick to expandI dont understand how is it better to have two cars  The concept of uber is using your personal car I live in DC and i cant imagine having two cars plus my wifes and how about parking ","Oct 24, 2016","2","anyone-ubering-on-personal-insurance","https://uberpeople.net/threads/anyone-ubering-on-personal-insurance.112941/page-2",2,99,"  I like the approach of two cars uber car and personal car  Im only doing this part time but two cars would still work if mileage fees ever increase  Im grossing about a 1000 a month on a 12 or 13 hour week Surge times only  Bump the base fees and Ill work more With one car my annual policy is 1100 A bump to 2333 represents about 100 a month more Are you going thru Geico I dont understand how is it better to have two cars  The concept of uber is using your personal car I live in DC and i cant imagine having two cars plus my wifes and how about parking "
"CrazyT","Wizar saidI dont understand how is it better to have two cars The concept of uber is using your personal carI live in DC and i cant imagine having two cars plus my wifes and how about parking Click to expandBasically we have my husbands suv and my uber car Replaced my car with one and thats the only car I use for uber  I still track mileage by trip because yeah Ill use it to run to the store pick up kids etc  but 99 of what its used for is uber  If the family is going somewhere we take the SUV","Oct 24, 2016","2","anyone-ubering-on-personal-insurance","https://uberpeople.net/threads/anyone-ubering-on-personal-insurance.112941/page-2",7,99,"  I dont understand how is it better to have two cars The concept of uber is using your personal carI live in DC and i cant imagine having two cars plus my wifes and how about parking  Basically we have my husbands suv and my uber car Replaced my car with one and thats the only car I use for uber  I still track mileage by trip because yeah Ill use it to run to the store pick up kids etc  but 99 of what its used for is uber  If the family is going somewhere we take the SUV"
"Another Uber Driver","Wizar saidI live in DC and i cant imagine having two cars plus my wifes and how about parking Click to expandI have the cab the UberX car and a personal car I will leave out the DeSoto which is in Massachusetts  I live in DC   The personal car is the excab  I keep it to keep the nonbusiness miles on the cab and UberX car to a minimum   If it ever does need an expensive repair the first five hundred bananas will take it   It is a Mercury Grand Marquis so the young men like it  Somebody will buy it  I live in a residential area so the street parking is not a problem YET   I do wonder if the development around Fort Rotten will have an effect  Add to that the UDC Community College at the old Bertie Backus  The IckyDs on South Dakota is supposed to move to where the current Kentucky FriedTaco Hell is so that it can have drivethrough  I do  not know what will replace the IckyDs on South Dakota   That could alter the parking picture but for now it is allright  I expect that by the time any of this could affect my parking the Mercury will have been long since sold","Oct 24, 2016","2","anyone-ubering-on-personal-insurance","https://uberpeople.net/threads/anyone-ubering-on-personal-insurance.112941/page-2",37,99,"  I live in DC and i cant imagine having two cars plus my wifes and how about parking  I have the cab the UberX car and a personal car I will leave out the DeSoto which is in Massachusetts  I live in DC   The personal car is the excab  I keep it to keep the nonbusiness miles on the cab and UberX car to a minimum   If it ever does need an expensive repair the first five hundred bananas will take it   It is a Mercury Grand Marquis so the young men like it  Somebody will buy it  I live in a residential area so the street parking is not a problem YET   I do wonder if the development around Fort Rotten will have an effect  Add to that the UDC Community College at the old Bertie Backus  The IckyDs on South Dakota is supposed to move to where the current Kentucky FriedTaco Hell is so that it can have drivethrough  I do  not know what will replace the IckyDs on South Dakota   That could alter the parking picture but for now it is allright  I expect that by the time any of this could affect my parking the Mercury will have been long since sold"
"CrazyT","Of course an alternative is like what I useDont live in DC  Parking solved ","Oct 24, 2016","2","anyone-ubering-on-personal-insurance","https://uberpeople.net/threads/anyone-ubering-on-personal-insurance.112941/page-2",7,99,"Of course an alternative is like what I useDont live in DC  Parking solved "
"Bart McCoy","Bluecrab saidI just spent an hour reading coverage Im covered between my personal and James River except for Period 1 Thats when youre online but not yet responding to Ping or having Pax in the car Thats really not too frequentClick to expandDont think you fully understand the risk of driving on personal insurance1000 deductible for James River EVEN if its not your fault  lots of other differences as well","Oct 24, 2016","2","anyone-ubering-on-personal-insurance","https://uberpeople.net/threads/anyone-ubering-on-personal-insurance.112941/page-2",23,99,"  I just spent an hour reading coverage Im covered between my personal and James River except for Period 1 Thats when youre online but not yet responding to Ping or having Pax in the car Thats really not too frequent Dont think you fully understand the risk of driving on personal insurance1000 deductible for James River EVEN if its not your fault  lots of other differences as well"
"basejumper56","Okay Ive read the threads on this insurance topic and I was fairly sure that one needed commercial insurance However Im waiting for a dealership to finalize my xchange lease and they are telling me I only need personal insurance I chatted with an uber rep for customer service and they seem to say the same thing as well personal insurance only Can someone clarify please","Jun 25, 2016","1","insurance-clarificatio","https://uberpeople.net/threads/insurance-clarification.86399/page-1",2,9,"Okay Ive read the threads on this insurance topic and I was fairly sure that one needed commercial insurance However Im waiting for a dealership to finalize my xchange lease and they are telling me I only need personal insurance I chatted with an uber rep for customer service and they seem to say the same thing as well personal insurance only Can someone clarify please"
"Bart McCoy","Uber will always tell you personal insurance is all thats neededIf you ask almost any insurance company that offers personal car insurance they will say NO they dont cover you to be doing livery Uberand is in violation of almost all policiesYou can get commercial insurance thats the bestfully covered However its expensiveYou can save some money like me by just getting Hybrid insurance personal car insurance that knows and okays you doing uber and youre covered during all 3 periods","Jun 25, 2016","1","insurance-clarificatio","https://uberpeople.net/threads/insurance-clarification.86399/page-1",23,9,"Uber will always tell you personal insurance is all thats neededIf you ask almost any insurance company that offers personal car insurance they will say NO they dont cover you to be doing livery Uberand is in violation of almost all policiesYou can get commercial insurance thats the bestfully covered However its expensiveYou can save some money like me by just getting Hybrid insurance personal car insurance that knows and okays you doing uber and youre covered during all 3 periods"
"basejumper56","Can you tell me what providers offer this hybrid insurance And what to expect to pay Thanks in advance","Jun 25, 2016","1","insurance-clarificatio","https://uberpeople.net/threads/insurance-clarification.86399/page-1",2,9,"Can you tell me what providers offer this hybrid insurance And what to expect to pay Thanks in advance"
"Bart McCoy","basejumper56 saidCan you tell me what providers offer this hybrid insurance And what to expect to payThanks in advanceClick to expandhard to say amount around 200 or somonth but thats rough yours maybe much higher or even lessMARYLAND  Geico or EerieVIRGINIA  GeicoDC   not sure somebody can help hereI rolled with eerie for the simple fact they offered me a cheaper rate than geico","Jun 25, 2016","1","insurance-clarificatio","https://uberpeople.net/threads/insurance-clarification.86399/page-1",23,9,"  Can you tell me what providers offer this hybrid insurance And what to expect to payThanks in advance hard to say amount around 200 or somonth but thats rough yours maybe much higher or even lessMARYLAND  Geico or EerieVIRGINIA  GeicoDC   not sure somebody can help hereI rolled with eerie for the simple fact they offered me a cheaper rate than geico"
"numbakrunch","You dont need extra insurance until you have an accident and they cancel your  and deny the claim I carry Geico commercial just in case","Jun 25, 2016","1","insurance-clarificatio","https://uberpeople.net/threads/insurance-clarification.86399/page-1",11,9,"You dont need extra insurance until you have an accident and they cancel your  and deny the claim I carry Geico commercial just in case"
"Jayanderson","Make sure you upload the new one at least a month in advance I am still deactivated even though I uploaded my new insurance 5 days prior to the old one expiring","Sep 22, 2016","1","if-your-insurance-is-about-to-expire","https://uberpeople.net/threads/if-your-insurance-is-about-to-expire.105694/page-1",4,9,"Make sure you upload the new one at least a month in advance I am still deactivated even though I uploaded my new insurance 5 days prior to the old one expiring"
"Fireguy50","Must be something else wrongA glitchThey deactivated youOr they forgot about youHave you emailed Uber to fix it Have you tried reloading it to the app or on a desktopI sent mine in about 710 days and no problems I dont know anyone who gets insurance updates a month in advance","Sep 22, 2016","1","if-your-insurance-is-about-to-expire","https://uberpeople.net/threads/if-your-insurance-is-about-to-expire.105694/page-1",1,9,"Must be something else wrongA glitchThey deactivated youOr they forgot about youHave you emailed Uber to fix it Have you tried reloading it to the app or on a desktopI sent mine in about 710 days and no problems I dont know anyone who gets insurance updates a month in advance"
"LAuberX","I have been locked out no matter How I did it went to a new driver sign up awning last time that worksanother member suggested taking a pic of old and new cards side by side said that worked for him","Sep 22, 2016","1","if-your-insurance-is-about-to-expire","https://uberpeople.net/threads/if-your-insurance-is-about-to-expire.105694/page-1",2,9,"I have been locked out no matter How I did it went to a new driver sign up awning last time that worksanother member suggested taking a pic of old and new cards side by side   that worked for him"
"nutzareus","Email PartnersEC at Uber dot com in addition to PartnersDC sometimes their East Coast mailbox are answered by Americans","Sep 22, 2016","1","if-your-insurance-is-about-to-expire","https://uberpeople.net/threads/if-your-insurance-is-about-to-expire.105694/page-1",7,9,"Email PartnersEC at Uber dot com in addition to PartnersDC sometimes their East Coast mailbox are answered by Americans"
